#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.005817,54,1836.664114
0.216831,440,1839.116045
0.025194,134,1840.030338
0,1001,1845.157713
0.376016,588,1848.346762
0.044328,381,1850.558166
0.209926,531,1855.823112
0.231663,512,1858.570304
0.281696,1001,1863.691513
0.883312,717,1867.47754
0.017664,122,1868.373005
0.131587,382,1870.578457
0.095246,897,1875.286065
0.012026,92,1876.062904
0.004832,35,1876.551562
0.001806,378,1881.070003
0.042709,161,1882.173491
0.056613,1001,1887.558558
0,276,1889.186262
0,291,1890.925117
0.003143,71,1891.576693
0.000876,1001,1896.794754
0.553915,550,1899.858618
0.002584,369,1902.062618
0.008325,248,1906.071345
0,146,1907.018863
0.04545,541,1909.880474
0.043356,67,1910.501827
6.8e-05,541,1913.629407
0.010293,432,1916.15185
0.086624,635,1919.657757
0.001292,364,1921.769508
0.033406,236,1923.205344
0,611,1926.575562
0.015513,683,1932.486364
0.231012,157,1933.523462
0.574623,727,1937.310499
0,286,1939.014069
0.040651,178,1940.210278
0.062568,478,1942.859013
0.037788,220,1944.243538
0.039526,170,1945.388859
0.048251,126,1946.302714
0.102093,988,1951.487825
0.025525,481,1954.13903
0.010588,1001,1961.605352
0.152917,1001,1966.755457
0.074437,1001,1971.980977
0.005319,116,1972.900384
0.008981,412,1975.210861
0.356433,1001,1982.655853
0.077497,268,1984.253673
0.003789,175,1985.410999
0.064071,1001,1990.738377
0.120908,1001,1995.971835
0,86,1996.725678
0.098798,681,2000.365079
0.111185,767,2006.739692
0.012668,185,2007.99744
0,245,2009.526351
0.007722,647,2012.908522
0.022114,56,2013.494614
0.014942,328,2015.40699
0.027668,119,2016.313118
0.02654,312,2018.163926
0.014857,74,2018.844137
0.044369,614,2022.142497
0.131005,233,2023.647115
0.162985,649,2027.22062
0.011215,715,2033.388345
0.093673,599,2036.642738
0.281471,674,2040.315538
0.122986,1001,2045.630928
0.005974,835,2050.087209
0.013664,780,2056.668522
0.200324,572,2059.800519
0.008696,535,2062.777123
0.019153,845,2067.252694
0.157382,143,2068.278231
0.2179,173,2069.438064
0.310253,830,2073.942606
0.05257,193,2075.298904
0.093033,351,2077.37491
0.05473,114,2078.261287
0.011149,425,2082.880697
0,56,2083.482495
0.022599,243,2085.017425
0.083808,1001,2090.346469
0.326902,693,2094.138264
0.342383,471,2096.89126
0.110407,850,2101.517576
0.302529,752,2107.878725
0.10631,691,2111.700731
0.129821,645,2115.27797
0.134448,646,2118.736442
0.271028,853,2123.379292
0.12862,193,2124.708617
0.007586,494,2127.453084
0.013393,522,2132.738007
0.014496,1001,2138.046389
0.273608,934,2142.974846
0.117256,1001,2148.40737
0.316267,546,2151.489687
0.02449,336,2153.466861
0.027164,54,2154.0301
0.017772,351,2158.415319
0.011022,608,2161.88439
0.245203,411,2164.255185
0.216277,182,2165.52588
0.164252,1001,2170.814575
0.147004,117,2171.734868
0.063421,1001,2177.068562
0.306823,145,2178.133574
0,556,2183.565877
0.03012,1001,2189.010611
0.040459,185,2190.257036
0.702192,1001,2195.698309
0.18117,190,2196.993728
0.305166,618,2200.494523
0.44313,876,2205.170127
0.281271,1001,2212.809541
0,1001,2218.189872
0,264,2219.826444
0.0868,278,2221.593572
0.08781,1001,2226.956821
0.001476,257,2228.561934
0.191178,1001,2236.188748
0.046104,255,2237.798108
